 (Half Day),(Meio Dia)
Select the relevant company name if you have multiple companies.,"Selecione o nome da empresa em questão, se você tem várias empresas."
Select who you want to send this newsletter to,Selecione para quem você deseja enviar esta newsletter
Select your home country and check the timezone and currency.,Selecione o seu país de origem e verificar o fuso horário e moeda.
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.","Selecionando ""Sim"" vai permitir que este item apareça na Ordem de Compra, Recibo de Compra."
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","Selecionando ""Sim"" vai permitir que este item conste na Pedido de Venda, Guia de Remessa"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.","Selecionando """"Sim"""" vai permitir que você crie uma Lista de Materiais mostrando as matérias-primas e os custos operacionais incorridos para fabricar este item."
"Selecting ""Yes"" will allow you to make a Production Order for this item.","Selecionando """"Sim"""" vai permitir que você faça uma Ordem de Produção para este item."
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.","Selecionando """"Sim"""" vai dar uma identificação única para cada entidade deste item que pode ser vista no cadastro do Nº de Série."
Selling,Vendas
Selling Settings,Configurações de Vendas
Send,Enviar
Send Autoreply,Enviar Resposta Automática
Send Email,Enviar E-mail
Send From,Enviar de
Send Notifications To,Enviar notificações para
Send Now,Enviar agora
Send SMS,Envie SMS
Send To,Enviar para
Send To Type,Enviar para Digite
Send mass SMS to your contacts,Enviar SMS em massa para seus contatos
Send to this list,Enviar para esta lista
Sender Name,Nome do Remetente
Sent On,Enviado em
Separate production order will be created for each finished good item.,Uma Ordem de Produção separada será criada para cada item acabado.
Serial No,Nº de Série
Serial No / Batch,N º de Série / lote
Serial No Details,Detalhes do Nº de Série
Serial No Service Contract Expiry,Vencimento do Contrato de Serviço com Nº de Série
Serial No Status,Estado do Nº de Série
Serial No Warranty Expiry,Vencimento da Garantia com Nº de Série
Serial No is mandatory for Item {0},Nº de Série é obrigatória para item {0}
Serial No {0} created,Nº de Série {0} criado
Serial No {0} does not belong to Delivery Note {1},Nº de Série {0} não pertence a entrega Nota {1}
Serial No {0} does not belong to Item {1},Nº de Série {0} não pertence ao item {1}
Serial No {0} does not belong to Warehouse {1},Nº de Série {0} não pertence ao Almoxarifado {1}
Serial No {0} does not exist,Nº de Série {0} não existe
Serial No {0} has already been received,Nº de Série {0} já foi recebido
Serial No {0} is under maintenance contract upto {1},Nº de Série {0} está sob contrato de manutenção até {1}
Serial No {0} is under warranty upto {1},Nº de Série {0} está na garantia até {1}
Serial No {0} not in stock,Nº de Série {0} não em estoque
Serial No {0} quantity {1} cannot be a fraction,Nº de Série {0} {1} quantidade não pode ser uma fração
Serial No {0} status must be 'Available' to Deliver,Serial No {0} Estado deve ser ' Disponível ' para entregar
Serial Nos Required for Serialized Item {0},Serial Nos Obrigatório para Serialized item {0}
Serial Number Series,Série do Nº de Série
Serial number {0} entered more than once,Nº de Série {0} digitado mais de uma vez
"Serialized Item {0} cannot be updated \
					using Stock Reconciliation","Item Serializado {0} não pode ser atualizado \
					usando Reconciliação de Estoque"
Series,Série
Series List for this Transaction,Lista de Séries para esta Transação
Series Updated,Série Atualizada
Series Updated Successfully,Série atualizada com sucesso
Series is mandatory,Série é obrigatória
Series {0} already used in {1},Série {0} já utilizada em {1}
Service,Serviço
Service Address,Endereço de Serviço
Services,Serviços
Set,Definir
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Definir valores padrão , como Company, de moeda, Atual Exercício , etc"
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,"Definir orçamentos para Grupos de Itens neste território. Você também pode incluir a sazonalidade, defininda na Distribuição."
Set as Default,Definir como Padrão
Set as Lost,Definir como Perdida
Set prefix for numbering series on your transactions,Definir prefixo para séries de numeração em suas transações
Set targets Item Group-wise for this Sales Person.,Estabelecer metas para Grupos de Itens para este Vendedor.
Setting Account Type helps in selecting this Account in transactions.,Definir o Tipo de Conta ajuda na seleção desta Conta nas transações.
Setting this Address Template as default as there is no other default,Definindo este Modelo de Endereço como padrão uma vez que não há outro.
Setting up...,Configurando...
Settings,Configurações
Settings for HR Module,Configurações para o Módulo HR
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""","Definições para extrair os candidatos a emprego a partir de um e-mail, por exemplo: &quot;empregos@exemplo.com&quot;"
Setup,Configuração
Setup Already Complete!!,Instalação já está completa!
Setup Complete,Instalação concluída
Setup SMS gateway settings,Configurar Opções do Roteador SMS
Setup Series,Configuração de Séries
Setup Wizard,Assistente de Configuração
Setup incoming server for jobs email id. (e.g. jobs@example.com),Configuração do servidor de entrada de e-mail para empregos. (por exemplo vagas@exemplo.com.br)
Setup incoming server for sales email id. (e.g. sales@example.com),Configuração do servidor de entrada de e-mail para vendas. (por exemplo vendas@exemplo.com.br)
Setup incoming server for support email id. (e.g. support@example.com),Configuração do servidor de entrada de e-mail para suporte. (por exemplo suporte@exemplo.com.br)
Share,Ação
Share With,Compartilhar Com
Shareholders Funds,CAPITAL PRÓPRIO
Shipments to customers.,Os embarques para os clientes.
Shipping,Expedição
Shipping Account,Conta de Envio
Shipping Address,Endereço de Envio
Shipping Amount,Valor do Envio
Shipping Rule,Regra de Envio
Shipping Rule Condition,Condição da Regra de Envio
Shipping Rule Conditions,Condições da Regra de Envio
Shipping Rule Label,Rótulo da Regra de Envio
Shop,Loja
Shopping Cart,Carrinho de Compras
Short biography for website and other publications.,Breve biografia para o site e outras publicações.
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",Mostrar &quot;Em Stock&quot; ou &quot;Fora de Estoque&quot; baseado no estoque disponível neste almoxarifado.
"Show / Hide features like Serial Nos, POS etc.","Mostrar / Ocultar recursos como os números de ordem , POS , etc"
Show In Website,Mostrar No Site
Show a slideshow at the top of the page,Mostrar uma apresentação de slides no topo da página
Show in Website,Mostrar no site
Show this slideshow at the top of the page,Mostrar esta apresentação de slides no topo da página
Sick Leave,doente Deixar
Signature,Assinatura
Signature to be appended at the end of every email,Assinatura para ser inserida no final de cada e-mail
Single,Único
Single unit of an Item.,Unidade única de um item.
Sit tight while your system is being setup. This may take a few moments.,Sente-se apertado enquanto o sistema está sendo configurado . Isso pode demorar alguns instantes.
Slideshow,Apresentação de slides
Soap & Detergent,Sabão e Detergente
Software,Software
Software Developer,Desenvolvedor de Software
"Sorry, Serial Nos cannot be merged","Desculpe, os números de ordem não podem ser mescladas"
"Sorry, companies cannot be merged","Desculpe , as empresas não podem ser mescladas"
Source,Fonte
Source File,Arquivo Fonte
Source Warehouse,Almoxarifado de origem
Source and target warehouse cannot be same for row {0},Almoxarifado de origem e destino não podem ser o mesmo para a linha {0}
Source of Funds (Liabilities),Fonte de Fundos (Passivo)
Source warehouse is mandatory for row {0},Almoxarifado de origem é obrigatório para a linha {0}
Spartan,Espartano
"Special Characters except ""-"" and ""/"" not allowed in naming series","Caracteres especiais , exceto "" - "" e ""/ "" não é permitido em série nomeando"
Specification Details,Detalhes da especificação
Specifications,especificações
"Specify a list of Territories, for which, this Price List is valid","Especificar uma lista de territórios, para a qual, esta lista de preços é válida"
"Specify a list of Territories, for which, this Shipping Rule is valid","Especificar uma lista de territórios, para a qual, essa regra de envio é válida"
"Specify a list of Territories, for which, this Taxes Master is valid","Especificar uma lista de territórios, para a qual, este Impostos Master é válido"
"Specify the operations, operating cost and give a unique Operation no to your operations.","Especificar as operações , custos operacionais e dar uma operação única não às suas operações."
Split Delivery Note into packages.,Dividir Guia de Remessa em pacotes.
Sports,Esportes
Standard,Padrão
Standard Buying,Compra Padrão
Standard Reports,Relatórios Padrão
Standard Selling,Venda Padrão
Standard contract terms for Sales or Purchase.,Termos do contrato padrão para vendas ou compra.
Start,Início
Start Date,Data de Início
Start date of current invoice's period,Data de início do período de fatura atual
Start date should be less than end date for Item {0},Data de início deve ser inferior a data final para o item {0}
State,Estado
State Tax Number,Inscrição Estadual
Static Parameters,Parâmetros Estáticos
Status,Estado
Status must be one of {0},Estado deve ser um dos {0}
Status of {0} {1} is now {2},Estado de {0} {1} é agora {2}
Status updated to {0},Atualizou estado para {0}
Statutory info and other general information about your Supplier,Informações estatutárias e outras informações gerais sobre o seu Fornecedor
Stay Updated,Fique Atualizado
Stock,Estoque
Stock Adjustment,Ajuste do Estoque
Stock Adjustment Account,Conta de Ajuste do Estoque
Stock Ageing,Depreciação do Estoque
Stock Analytics,Análise do Estoque
Stock Assets,Ativos do Estoque
Stock Balance,Balanço de Estoque
Stock Entries already created for Production Order ,Lançamentos do Estoque já criados para a Ordem de Produção 
Stock Entry,Lançamento no Estoque
Stock Entry Detail,Detalhe do Lançamento no Estoque
Stock Expenses,Despesas de Estoque
Stock Frozen Upto,Estoque Congelado até
Stock Ledger,Livro de Inventário
Stock Ledger Entry,Lançamento do Livro de Inventário
Stock Ledger entries balances updated,Balanço atualizado de lançamentos no Livro de Inventário
Stock Level,Nível de Estoque
Stock Liabilities,Passivo do Estoque
Stock Projected Qty,Qtde Projetada do Estoque
Stock Queue (FIFO),Fila do Estoque (PEPS)
Stock Received But Not Billed,Estoque Recebido mas não Faturado
Stock Reconcilation Data,Dados de Reconciliação do Estoque
Stock Reconcilation Template,Modelo de Reconciliação do Estoque
Stock Reconciliation,Reconciliação de Estoque
"Stock Reconciliation can be used to update the stock on a particular date, usually as per physical inventory.","Banco de reconciliação pode ser usado para atualizar o estoque em uma data específica , geralmente de acordo com o inventário físico ."
Stock Settings,Configurações do Estoque
Stock UOM,UDM do Estoque
Stock UOM Replace Utility,Utilitário para Substituir UDM do Estoque
Stock UOM updatd for Item {0},UDM do Estoque atualizada para o Item {0}
Stock Uom,UDM do Estoque
Stock Value,Valor do Estoque
Stock Value Difference,Banco de Valor Diferença
Stock balances updated,Banco saldos atualizados
Stock cannot be updated against Delivery Note {0},Banco não pode ser atualizado contra entrega Nota {0}
Stock entries exist against warehouse {0} cannot re-assign or modify 'Master Name',As entradas em existências existir contra almoxarifado {0} não pode voltar a atribuir ou modificar 'Master Name'
Stop,Parar
Stop Birthday Reminders,Parar Lembretes de Aniversário
Stop Material Request,Parar Pedido de Materiais
Stop users from making Leave Applications on following days.,Restringir usuários de fazer Solicitações de Férias nos seguintes dias.
Stop!,Parar!
Stopped,Parado(a)
Stopped order cannot be cancelled. Unstop to cancel.,Ordem parada não pode ser cancelada. Continuar para cancelar.
Stores,Lojas
Stub,toco
Sub Assemblies,Partes/Peças
"Sub-currency. For e.g. ""Cent""",Sub-moeda. Por exemplo &quot;Centavo&quot;
Subcontract,Subcontratar
Subject,Assunto
Submit Salary Slip,Enviar folha de pagamento
Submit all salary slips for the above selected criteria,Enviar todas as folhas de pagamento para os critérios acima selecionados
Submit this Production Order for further processing.,Enviar esta ordem de produção para posterior processamento.
Submitted,Enviado
Subsidiary,Subsidiário
Successful: ,Bem-sucedido:
Successfully allocated,Alocado(a)s com sucesso
Suggestions,Sugestões
Sunday,Domingo
Supplier,Fornecedor
Supplier (Payable) Account,Fornecedor (pago) Conta
Supplier (vendor) name as entered in supplier master,"Nome do fornecedor (vendedor), como inscritos no cadastro de fornecedores"
Supplier > Supplier Type,Fornecedor > Tipo de Fornecedor
Supplier Account Head,Conta Principal do Fornecedor
Supplier Address,Endereço do Fornecedor
Supplier Addresses And Contacts,Endereços e Contatos do Fornecedor 
Supplier Addresses and Contacts,Endereços e Contatos do Fornecedor 
Supplier Details,Detalhes do Fornecedor
Supplier Intro,Introdução do Fornecedor
Supplier Invoice Date,Fornecedor Data Fatura
Supplier Invoice No,Fatura de Fornecedor Nº
Supplier Name,Nome do Fornecedor
Supplier Naming By,Nomear Fornecedor Por
Supplier Part Number,Nº da Peça do Fornecedor
Supplier Quotation,Cotação do Fornecedor
Supplier Quotation Item,Item da Cotação do Fornecedor
Supplier Reference,Referência do Fornecedor
Supplier Type,Tipo de Fornecedor
Supplier Type / Supplier,Tipo de Fornecedor / Fornecedor
Supplier Type master.,Cadastro de Tipos de Fornecedor.
Supplier Warehouse,Almoxarifado do Fornecedor
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Fornecedor Almoxarifado obrigatório para sub- contratados Recibo de compra
Supplier database.,Banco de dados de Fornecedores.
Supplier master.,Fornecedor mestre.
Supplier warehouse where you have issued raw materials for sub - contracting,Almoxarifado do fornecedor onde você emitiu matérias-primas para a subcontratação
Supplier-Wise Sales Analytics,Análise de Vendas por Fornecedor
Support,Suporte
Support Analtyics,Análise do Suporte
Support Analytics,Análise do Suporte
Support Email,E-Mail de Suporte
Support Email Settings,Configurações de E-Mail de Suporte
Support Password,Senha de Suporte
Support Ticket,Ticket de Suporte
Support queries from customers.,Suporte a problemas de clientes.
Symbol,Símbolo
Sync Support Mails,Sincronizar E-mails de Suporte
Sync with Dropbox,Sincronizar com o Dropbox
Sync with Google Drive,Sincronizar com o Google Drive
System,Sistema
System Settings,Configurações do Sistema
"System User (login) ID. If set, it will become default for all HR forms.","Identificação do usuário do sistema (login). Se for marcado, ele vai se tornar padrão para todos os formulários de RH."
Target  Amount,Valor da Meta
Target Detail,Detalhe da Meta
Target Details,Detalhes da Meta
Target Details1,Detalhes da Meta
Target Distribution,Distribuição de Metas
Target On,Meta Em
Target Qty,Qtde de Metas
Target Warehouse,Almoxarifado de Destino
Target warehouse in row {0} must be same as Production Order,Warehouse de destino na linha {0} deve ser o mesmo que ordem de produção
Target warehouse is mandatory for row {0},Destino do Warehouse é obrigatória para a linha {0}
Task,Tarefa
Task Details,Detalhes da Tarefa
Tasks,Tarefas
Tax,Imposto
Tax Amount After Discount Amount,Total de Impostos Depois do Total do Desconto
Tax Assets,Ativo Fiscal
Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items,"Categoria imposto não pode ser ' Avaliação ' ou ' Avaliação e total "", como todos os itens não são itens de estoque"
Tax Rate,Taxa de Imposto
Tax and other salary deductions.,Impostos e outras deduções salariais.
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Tabela de detalhes de impostos obtida do cadastro do item como um texto e armazenada neste campo.
Usada para Impostos e Encargos"
Tax template for buying transactions.,Modelo de imposto para transações de compra.
Tax template for selling transactions.,Modelo de imposto para transações de venda.
Taxable,Tributável
Taxes and Charges,Impostos e Encargos
Taxes and Charges Added,Impostos e Encargos Adicionados
Taxes and Charges Added (Company Currency),Impostos e taxas Adicionado (Moeda da Empresa)
Taxes and Charges Calculation,Cálculo de Impostos e Encargos
Taxes and Charges Deducted,Impostos e Encargos Deduzidos
Taxes and Charges Deducted (Company Currency),Impostos e taxas Deduzido (Moeda da Empresa)
Taxes and Charges Total,Total de Impostos e Encargos
Taxes and Charges Total (Company Currency),Impostos e Encargos Total (Moeda da Empresa)
Technology,Tecnologia
Telecommunications,Telecomunicações
Telephone Expenses,Despesas de Telefone
Television,Televisão
Template,Modelo
Template for performance appraisals.,Modelo para avaliação de desempenho.
Template of terms or contract.,Modelo de termos ou contrato.
Temporary Accounts (Assets),Contas Temporárias (Ativos)
Temporary Accounts (Liabilities),Contas temporárias (Passivos)
Temporary Assets,Ativos temporários
Temporary Liabilities,Passivo temporárias
Term Details,Detalhes dos Termos
Terms,Termos
Terms and Conditions,Termos e Condições
Terms and Conditions Content,Conteúdos dos Termos e Condições
Terms and Conditions Details,Detalhes dos Termos e Condições
Terms and Conditions Template,Modelo de Termos e Condições
Terms and Conditions1,Termos e Condições
Terretory,Território
Territory,Território
Territory / Customer,Território/Cliente
Territory Manager,Gerenciador de Territórios
Territory Name,Nome do Território
Territory Target Variance Item Group-Wise,Variação de Metas do Território por Grupo de Itens
Territory Target Variance (Item Group-Wise),Variação de Metas do Território (por Grupo de Itens)
Territory Targets,Metas do Território
Test,Teste
Test Email Id,Endereço de E-Mail de Teste
Test the Newsletter,Boletim Informativo de Teste
The BOM which will be replaced,A LDM que será substituída
The First User: You,O primeiro usuário : Você
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",O item que representa o pacote. Este item deve ter &quot;É Item de Estoque&quot; como &quot;Não&quot; e &quot;É Item de Venda&quot; como &quot;Sim&quot;
The Organization,a Organização
"The account head under Liability, in which Profit/Loss will be booked","O chefe conta com Responsabilidade , no qual Lucro / Prejuízo será reservado"
"The date on which next invoice will be generated. It is generated on submit.
","A data em que a próxima fatura será gerada. Ela é gerada no envio.
"
The date on which recurring invoice will be stop,A data em que fatura recorrente será interrompida
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","O dia do mês em que factura automática será gerada, por exemplo 05, 28 etc"
The day(s) on which you are applying for leave are holiday. You need not apply for leave.,No dia (s) em que você está se candidatando para a licença estão de férias. Você não precisa solicitar uma licença .
The first Leave Approver in the list will be set as the default Leave Approver,O primeiro Deixe Approver na lista vai ser definido como o Leave Approver padrão
The first user will become the System Manager (you can change that later).,O primeiro usuário será o System Manager (você pode mudar isso mais tarde) .
The gross weight of the package. Usually net weight + packaging material weight. (for print),O peso bruto do pacote. Normalmente peso líquido + peso do material de embalagem. (Para impressão)
The name of your company for which you are setting up this system.,O nome da sua empresa para a qual você está configurando o sistema.
The net weight of this package. (calculated automatically as sum of net weight of items),O peso líquido do pacote. (Calculado automaticamente como soma do peso líquido dos itens)
The new BOM after replacement,A nova LDM após substituição
The rate at which Bill Currency is converted into company's base currency,A taxa na qual a moeda de faturamento é convertida na moeda base da empresa
The unique id for tracking all recurring invoices. It is generated on submit.,A ID exclusiva para acompanhar todas as facturas recorrentes. Ele é gerado em enviar.
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Então as Regras de Preços são filtradas baseadas no Cliente, Grupo de Clientes, Território, Fornecedor, Tipo de Fornecedor, Campanha, Parceiro de Vendas, etc."
There are more holidays than working days this month.,Há mais feriados do que dias úteis do mês.
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","Só pode haver uma regra de envio Condição com 0 ou valor em branco para "" To Valor """
There is not enough leave balance for Leave Type {0},Não há o suficiente equilíbrio pela licença Tipo {0}
There is nothing to edit.,Não há nada a ser editado.
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,Houve um erro . Uma razão provável pode ser que você não tenha salvo o formulário. Entre em contato com support@erpnext.com se o problema persistir .
There were errors.,Ocorreram erros .
This Currency is disabled. Enable to use in transactions,Esta moeda é desativado. Ativar para usar em transações
This Leave Application is pending approval. Only the Leave Apporver can update status.,Esta Solicitação de Férias está pendente de aprovação. Somente o Aprovador de Férias pode atualizar o status.
This Time Log Batch has been billed.,Este Lote de Registros de Tempo foi faturado.
This Time Log Batch has been cancelled.,Este Lote de Registros de Tempo foi cancelado.
This Time Log conflicts with {0},Este Registro de Tempo conflita com {0}
This format is used if country specific format is not found,Este formato é utilizado se um formato específico do país não for encontrado
This is a root account and cannot be edited.,Esta é uma conta de root e não pode ser editada.
This is a root customer group and cannot be edited.,Este é um grupo de clientes de raiz e não pode ser editada.
This is a root item group and cannot be edited.,Este é um grupo de itens de raiz e não pode ser editada.
This is a root sales person and cannot be edited.,Esta é uma pessoa de vendas de raiz e não pode ser editado .
This is a root territory and cannot be edited.,Este é um território de raiz e não pode ser editada.
This is an example website auto-generated from ERPNext,Este é um exemplo website auto- gerada a partir ERPNext
This is the number of the last created transaction with this prefix,Este é o número da última transação criada com este prefixo
This will be used for setting rule in HR module,Isso será usado para a definição de regras no módulo RH
Thread HTML,Tópico HTML
Thursday,Quinta-feira
Time Log,Registro de Tempo
Time Log Batch,Lote de Registros de Tempo
Time Log Batch Detail,Detalhe do Lote de Registros de Tempo
Time Log Batch Details,Detalhes do Lote de Registros de Tempo
Time Log Batch {0} must be 'Submitted',Lote de Registros de Tempo {0} deve ser 'Enviado'
Time Log for tasks.,Registro de Tempo para as tarefas.
Time Log {0} must be 'Submitted',O Registro de Tempo {0} deve ser 'Enviado'
Time Zone,Fuso Horário
Time Zones,Fusos Horários
Time and Budget,Tempo e Orçamento
Time at which items were delivered from warehouse,Horário em que os itens foram enviados do almoxarifado
Time at which materials were received,Horário em que os materiais foram recebidos
Title,Título
Titles for print templates e.g. Proforma Invoice.,"Títulos para modelos de impressão, por exemplo Fatura Proforma."
To,Para
To Currency,A Moeda
To Date,Até a Data
To Date should be same as From Date for Half Day leave,Para data deve ser mesmo a partir da data de licença Meio Dia
To Discuss,Para Discutir
To Do List,A Fazer
To Package No.,Para o Pacote Nº
To Produce,A Produzir
To Time,Para o Horário
To Value,Para o Valor
To Warehouse,Para o Almoxarifado
"To add child nodes, explore tree and click on the node under which you want to add more nodes.","Para adicionar nós filho, explore a árvore  de contas e clique no nó em que você deseja adicionar mais nós."
"To assign this issue, use the ""Assign"" button in the sidebar.","Para atribuir esse problema a alguém, use o botão ""Atribuir"" na barra lateral."
To create a Bank Account:,Para criar uma Conta Bancária:
To create a Tax Account:,Para criar uma Conta de Imposto:
"To create an Account Head under a different company, select the company and save customer.","Para criar uma Conta, sob uma empresa diferente, selecione a empresa e salve o Cliente."
To date cannot be before from date,Até o momento não pode ser antes a partir da data
To enable <b>Point of Sale</b> features,Para habilitar as características de <b>Ponto de Venda</b>
To enable <b>Point of Sale</b> view,Para habilitar <b> Point of Sale </ b> vista
To get Item Group in details table,Para obter Grupo de Itens na tabela de detalhes
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Para incluir impostos na linha {0} na taxa de Item, os impostos em linhas {1} também deve ser incluída"
"To merge, following properties must be same for both items","Para mesclar , seguintes propriedades devem ser os mesmos para ambos os itens"
"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","Para não aplicar Regra de Preços em um transação em particular, todas as Regras de Preços aplicáveis devem estar desabilitadas."
"To set this Fiscal Year as Default, click on 'Set as Default'","Para definir esse Ano Fiscal como padrão , clique em ' Definir como padrão '"
To track any installation or commissioning related work after sales,Para rastrear qualquer trabalho relacionado à instalação ou colocação em funcionamento após a venda
"To track brand name in the following documents Delivery Note, Opportunity, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","Para acompanhar marca nos seguintes documentos Nota de Entrega , Oportunidade, Solicitação Material, Item, Ordem de Compra, Compra Vale , Comprador recibo , cotação, fatura de venda , Vendas BOM, Pedido de Vendas , Nº de Série"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,Para acompanhar o item em documentos de vendas e de compras com base em seus números de série. Isso também pode ser usado para rastrear detalhes sobre a garantia do produto.
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,"Para controlar os itens de vendas e documentos de compra pelo nº do lote<br> <b>Por Ex.: Indústria Química, etc</b>"
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,Para rastrear itens usando código de barras. Você será capaz de inserir itens na Guia de Remessa e Fatura de Venda através do escaneamento do código de barras do item.
Today,Hoje
Tools,Ferramentas
Total,Total
Total Advance,Antecipação Total
Total Allocated Amount,Valor Total Alocado
Total Allocated Amount can not be greater than unmatched amount,O Valor Total Alocado não pode ser maior que o valor 'unmatched'
Total Amount,Valor Total
Total Amount To Pay,Valor Total a Pagar
Total Amount in Words,Valor Total por Extenso
Total Billing This Year: ,Faturamento Total Deste Ano: 
Total Claimed Amount,Montante Total Requerido
Total Commission,Total da Comissão
Total Cost,Custo Total
Total Credit,Crédito Total
Total Debit,Débito Total
Total Debit must be equal to Total Credit. The difference is {0},Débito total deve ser igual ao total de crédito.
Total Deduction,Dedução Total
Total Earning,Total de Ganhos
Total Experience,Experiência total
Total Hours,Total de Horas
Total Hours (Expected),Total de Horas (Esperado)
Total Invoiced Amount,Valor Total Faturado
Total Leave Days,Total de Dias de Férias
Total Leaves Allocated,Total de Férias Alocadas
Total Message(s),Total de Mensagens
Total Operating Cost,Custo de Operacional Total
Total Points,Total de Pontos
Total Raw Material Cost,Custo Total de Matéria-Prima
Total Sanctioned Amount,Valor Total Sancionado
Total Score (Out of 5),Pontuação Total (sobre 5)
Total Tax (Company Currency),Imposto Total (Moeda da Empresa)
Total Taxes and Charges,Total de Impostos e Encargos
Total Taxes and Charges (Company Currency),Total de Impostos e Taxas (moeda da empresa)
Total Words,Total de Palavras
Total Working Days In The Month,Total de dias úteis do mês
Total allocated percentage for sales team should be 100,Porcentagem total alocada para a equipe de vendas deve ser de 100
Total amount of invoices received from suppliers during the digest period,O valor total das faturas recebidas de fornecedores durante o período de digestão
Total amount of invoices sent to the customer during the digest period,O valor total das faturas enviadas para o cliente durante o período de digestão
Total cannot be zero,Total não pode ser zero
Total in words,Total por extenso
Total points for all goals should be 100. It is {0},Total de pontos para todos os objetivos devem ser 100. Ele é {0}
Total valuation for manufactured or repacked item(s) can not be less than total valuation of raw materials,A valor total para itens fabricados ou reempacotados não pode ser menor que o valor total da matéria-prima
Total weightage assigned should be 100%. It is {0},Weightage total atribuído deve ser de 100 %. É {0}
Totals,Totais
Track Leads by Industry Type.,Rastrear Prospectos por Ramo de Atividade.
Track this Delivery Note against any Project,Acompanhar este Guia de Remessa contra qualquer projeto
Track this Sales Order against any Project,Acompanhar este Pedido de Venda contra qualquer projeto
Transaction,Transação
Transaction Date,Data da Transação
Transaction not allowed against stopped Production Order {0},Transação não é permitido contra parou Ordem de produção {0}
Transfer,Transferir
Transfer Material,transferência de Material
Transfer Raw Materials,Transferência de Matérias-Primas
Transferred Qty,transferido Qtde
Transportation,Transportes
Transporter Info,Informações da Transportadora
Transporter Name,Nome da Transportadora
Transporter lorry number,Nº do Caminhão da Transportadora
Travel,Viagem
Travel Expenses,Despesas de Viagem
Tree,Três
Tree Type,Tipo de Estrutura
Tree of Item Groups.,Estrutura dos Grupos de Itens.
Tree of finanial Cost Centers.,Estrutura dos Centros de Custo Financeiros.
Tree of finanial accounts.,Estrutura dos Contas Financeiras.
Trial Balance,Balancete
Tuesday,Terça-feira
Type,Tipo
Type of document to rename.,Tipo de documento a ser renomeado.
"Type of leaves like casual, sick etc.","Tipo de licenças como casual, doença, etc."
Types of Expense Claim.,Tipos de reembolso de despesas.
Types of activities for Time Sheets,Tipos de atividades para Planilha de Horas
"Types of employment (permanent, contract, intern etc.).","Tipos de emprego (permanente, contrato, estágio, etc.)."
UOM Conversion Detail,Detalhe da Conversão de UDM
UOM Conversion Details,Detalhes da Conversão de UDM
UOM Conversion Factor,Fator de Conversão da UDM
UOM Conversion factor is required in row {0},Fator de Conversão da UDM é necessário na linha {0}
UOM Name,Nome da UDM
UOM coversion factor required for UOM: {0} in Item: {1},O fator de conversão de UDM necessário para a UDM: {0} no Item: {1}
Under AMC,Sob CAM
Under Graduate,Em Graduação
Under Warranty,Sob Garantia
Unit,Unidade
Unit of Measure,Unidade de Medida
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Unidade de Medida {0} foi inserido mais de uma vez na Tabela de Conversão de Fator
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Unidade de medida do item (por exemplo: kg, unidade, nº, par)."
Units/Hour,Unidades/Hora
Units/Shifts,Unidades/Turnos
Unmatched Amount,Quantidade incomparável
Unpaid,Não Pago
Unscheduled,Sem agendamento
Unsecured Loans,Empréstimos Sem Garantia
Unstop,Continuar
Unstop Material Request,Continuar Pedido de Material
Unstop Purchase Order,Continuar Ordem de Compra
Unsubscribed,Inscrição Cancelada
Update,Atualizar
Update Clearance Date,Atualizar Data de Liquidação
Update Cost,Atualizar Custo
Update Finished Goods,Atualizar Produtos Acabados
Update Landed Cost,Atualizar Custo de Importação
Update Series,Atualizar Séries
Update Series Number,Atualizar Nºs de Série
Update Stock,Atualizar Estoque
"Update allocated amount in the above table and then click ""Allocate"" button",Atualize o montante atribuído na tabela acima e clique no botão 'Alocar'
